X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,BUI,FWI,log_area,month_num,day_num
7,5,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0,30.921902377488706,10.29358962395811,0.0,3,5
7,4,oct,tue,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0,62.52940865871657,18.709734202771582,0.0,10,2
7,4,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,75.4067198389895,20.671156194332923,0.0,10,6
8,6,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0,33.26019872516943,16.73680437576227,0.0,3,5
8,6,mar,sun,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,51.15059166448742,21.854667244093104,0.0,3,7
8,6,aug,sun,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,118.72057040955892,43.61699948495476,0.0,8,7
8,6,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0,122.75221842960667,30.85914569734123,0.0,8,1
8,6,aug,mon,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0,182.01560152263554,40.06526330421767,0.0,8,1
8,6,sep,tue,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0,176.4976632061384,30.102377856962164,0.0,9,2
7,5,sep,sat,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0,133.84890050039778,28.2052749552749,0.0,9,6
7,5,sep,sat,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0,133.84890050039778,28.2052749552749,0.0,9,6
7,5,sep,sat,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0,116.4991071425321,56.70511732840478,0.0,9,6
6,5,aug,fri,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0,111.84433099812463,4.28682653430775,0.0,8,5
6,5,sep,mon,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0,173.2081775114106,29.991321656136044,0.0,9,1
6,5,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0,180.58126543016755,36.26162701497758,0.0,9,3
6,5,sep,fri,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0,188.96368919254627,47.629368116577616,0.0,9,5
5,5,mar,sat,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0,35.74186677227423,15.592700414327753,0.0,3,6
